0_1	+ 1
8_9|4_1*4_1|12n_462	+ A^(-16) - 2*A^(-12) + 3*A^(-8) - 4*A^(-4) + 5 - 4*A^(4) + 3*A^(8) - 2*A^(12) + A^(16)
8_10	- A^(-24) + 2*A^(-20) - 4*A^(-16) + 5*A^(-12) - 4*A^(-8) + 5*A^(-4) - 3 + 2*A^(4) - A^(8)
8_10m	- A^(-8) + 2*A^(-4) - 3 + 5*A^(4) - 4*A^(8) + 5*A^(12) - 4*A^(16) + 2*A^(20) - A^(24)
8_11	+ A^(-4) - 2 + 4*A^(4) - 4*A^(8) + 5*A^(12) - 5*A^(16) + 3*A^(20) - 2*A^(24) + A^(28)
8_11m	+ A^(-28) - 2*A^(-24) + 3*A^(-20) - 5*A^(-16) + 5*A^(-12) - 4*A^(-8) + 4*A^(-4) - 2 + A^(4)
8_12	+ A^(-16) - 2*A^(-12) + 4*A^(-8) - 5*A^(-4) + 5 - 5*A^(4) + 4*A^(8) - 2*A^(12) + A^(16)
8_13	- A^(-20) + 2*A^(-16) - 3*A^(-12) + 5*A^(-8) - 5*A^(-4) + 5 - 4*A^(4) + 3*A^(8) - A^(12)
8_13m	- A^(-12) + 3*A^(-8) - 4*A^(-4) + 5 - 5*A^(4) + 5*A^(8) - 3*A^(12) + 2*A^(16) - A^(20)
8_14	+ A^(-4) - 2 + 4*A^(4) - 5*A^(8) + 6*A^(12) - 5*A^(16) + 4*A^(20) - 3*A^(24) + A^(28)
8_14m	+ A^(-28) - 3*A^(-24) + 4*A^(-20) - 5*A^(-16) + 6*A^(-12) - 5*A^(-8) + 4*A^(-4) - 2 + A^(4)
8_15	+ A^(8) - 2*A^(12) + 5*A^(16) - 5*A^(20) + 6*A^(24) - 6*A^(28) + 4*A^(32) - 3*A^(36) + A^(40)
8_15m	+ A^(-40) - 3*A^(-36) + 4*A^(-32) - 6*A^(-28) + 6*A^(-24) - 5*A^(-20) + 5*A^(-16) - 2*A^(-12) + A^(-8)
8_16|10_156	- A^(-8) + 3*A^(-4) - 4 + 6*A^(4) - 6*A^(8) + 6*A^(12) - 5*A^(16) + 3*A^(20) - A^(24)
8_16m|10_156m	- A^(-24) + 3*A^(-20) - 5*A^(-16) + 6*A^(-12) - 6*A^(-8) + 6*A^(-4) - 4 + 3*A^(4) - A^(8)
8_17	+ A^(-16) - 3*A^(-12) + 5*A^(-8) - 6*A^(-4) + 7 - 6*A^(4) + 5*A^(8) - 3*A^(12) + A^(16)
8_18	+ A^(-16) - 4*A^(-12) + 6*A^(-8) - 7*A^(-4) + 9 - 7*A^(4) + 6*A^(8) - 4*A^(12) + A^(16)
8_19	- A^(-32) + A^(-20) + A^(-12)
8_19m	+ A^(12) + A^(20) - A^(32)
8_20	- A^(-4) + 2 - A^(4) + 2*A^(8) - A^(12) + A^(16) - A^(20)
8_20m	- A^(-20) + A^(-16) - A^(-12) + 2*A^(-8) - A^(-4) + 2 - A^(4)
8_21	+ 2*A^(4) - 2*A^(8) + 3*A^(12) - 3*A^(16) + 2*A^(20) - 2*A^(24) + A^(28)
8_21m	+ A^(-28) - 2*A^(-24) + 2*A^(-20) - 3*A^(-16) + 3*A^(-12) - 2*A^(-8) + 2*A^(-4)
3_1*5_1	+ A^(12) + 2*A^(20) - 2*A^(24) + 2*A^(28) - 3*A^(32) + 2*A^(36) - 2*A^(40) + A^(44)
