0_1	+ 1
4_9s|4_20ms	- A^(-6)*w1 + A^(-6)*v + A^(-6)*q1^(2) - A^(-4) + A^(-4)*v^(2) - A^(-4)*q1 + A^(-4)*q1^(3) - A^(-2)*w1 + A^(-2)*q1^(2)
4_9m|4_20	+ A^(-6)*v + A^(-6)*p1^(2) - A^(-6)*m1 - A^(-4) + A^(-4)*v^(2) - A^(-4)*p1 + A^(-4)*p1^(3) + A^(-2)*p1^(2) - A^(-2)*m1
4_10|4_19m	+ A^(-8)*p1 + A^(-6)*v + A^(-6)*p1^(2) - A^(-4) + A^(-4)*v^(2) + A^(-4)*p1
4_10ms|4_19s	+ A^(-8)*q1 + A^(-6)*v + A^(-6)*q1^(2) - A^(-4) + A^(-4)*v^(2) + A^(-4)*q1
4_10s|4_19ms	- A^(4) + A^(4)*v^(2) + A^(4)*q1 + A^(6)*v + A^(6)*q1^(2) + A^(8)*q1
4_10m|4_19	- A^(4) + A^(4)*v^(2) + A^(4)*p1 + A^(6)*v + A^(6)*p1^(2) + A^(8)*p1
4_11|4_18m	- p1 - A^(2)*v - A^(2)*p1^(2) + A^(6)*v + A^(6)*p1^(2) + A^(8) + A^(8)*p1
4_11ms|4_18s	- q1 - A^(2)*v - A^(2)*q1^(2) + A^(6)*v + A^(6)*q1^(2) + A^(8) + A^(8)*q1
4_11s|4_18ms	+ A^(-8) + A^(-8)*q1 + A^(-6)*v + A^(-6)*q1^(2) - A^(-2)*v - A^(-2)*q1^(2) - q1
4_11m|4_18	+ A^(-8) + A^(-8)*p1 + A^(-6)*v + A^(-6)*p1^(2) - A^(-2)*v - A^(-2)*p1^(2) - p1
4_12|4_17m	- A^(-6)*m1 - A^(-4) - A^(-4)*p1 + A^(-2)*p1^(2) - A^(-2)*m1 + v^(2) + p1^(3) + A^(2)*v + A^(2)*p1^(2)
4_12ms|4_17s	- A^(-6)*w1 - A^(-4) - A^(-4)*q1 - A^(-2)*w1 + A^(-2)*q1^(2) + v^(2) + q1^(3) + A^(2)*v + A^(2)*q1^(2)
4_12s|4_17ms	+ A^(-2)*v + A^(-2)*q1^(2) + v^(2) + q1^(3) - A^(2)*w1 + A^(2)*q1^(2) - A^(4) - A^(4)*q1 - A^(6)*w1
4_12m|4_17	+ A^(-2)*v + A^(-2)*p1^(2) + v^(2) + p1^(3) + A^(2)*p1^(2) - A^(2)*m1 - A^(4) - A^(4)*p1 - A^(6)*m1
4_13|4_16m	+ A^(-4)*p1 + A^(-2)*v + A^(-2)*p1^(2) + v^(2) + p1 - A^(4)
4_13ms|4_16s	+ A^(-4)*q1 + A^(-2)*v + A^(-2)*q1^(2) + v^(2) + q1 - A^(4)
4_13s|4_16ms	- A^(-4) + v^(2) + q1 + A^(2)*v + A^(2)*q1^(2) + A^(4)*q1
4_13m|4_16	- A^(-4) + v^(2) + p1 + A^(2)*v + A^(2)*p1^(2) + A^(4)*p1
4_14|4_15m	+ A^(-10)*m1 + A^(-8) + A^(-8)*p1 + A^(-6)*v + A^(-6)*m1 - A^(-2)*v
4_14ms|4_15s	+ A^(-10)*w1 + A^(-8) + A^(-8)*q1 + A^(-6)*w1 + A^(-6)*v - A^(-2)*v
4_14s|4_15ms	- A^(2)*v + A^(6)*w1 + A^(6)*v + A^(8) + A^(8)*q1 + A^(10)*w1
4_14m|4_15	- A^(2)*v + A^(6)*v + A^(6)*m1 + A^(8) + A^(8)*p1 + A^(10)*m1
4_21|4_85m	+ A^(4)*v^(2) + A^(4)*q1 + 2*A^(6)*v + A^(6)*q1^(2) + A^(8) + A^(8)*q1
4_21ms|4_85s	+ A^(4)*v^(2) + A^(4)*p1 + 2*A^(6)*v + A^(6)*p1^(2) + A^(8) + A^(8)*p1
4_21s|4_85ms	+ A^(-8) + A^(-8)*p1 + 2*A^(-6)*v + A^(-6)*p1^(2) + A^(-4)*v^(2) + A^(-4)*p1
4_21m|4_85	+ A^(-8) + A^(-8)*q1 + 2*A^(-6)*v + A^(-6)*q1^(2) + A^(-4)*v^(2) + A^(-4)*q1
4_22|4_84	+ A^(-2)*w1 + A^(-2)*v + 1 + v^(2) + q1 + A^(2)*w1 + A^(2)*v
4_22s|4_84s	+ A^(-2)*v + A^(-2)*m1 + 1 + v^(2) + p1 + A^(2)*v + A^(2)*m1
4_23|4_60	- A^(6)*v - A^(8) - A^(8)*p1 + A^(10)*v - A^(10)*m1 + A^(12)*v^(2) + A^(12)*p1 + A^(14)*v + A^(14)*m1
4_23ms|4_60ms	- A^(6)*v - A^(8) - A^(8)*q1 - A^(10)*w1 + A^(10)*v + A^(12)*v^(2) + A^(12)*q1 + A^(14)*w1 + A^(14)*v
4_23s|4_60s	+ A^(-14)*w1 + A^(-14)*v + A^(-12)*v^(2) + A^(-12)*q1 - A^(-10)*w1 + A^(-10)*v - A^(-8) - A^(-8)*q1 - A^(-6)*v
4_23m|4_60m	+ A^(-14)*v + A^(-14)*m1 + A^(-12)*v^(2) + A^(-12)*p1 + A^(-10)*v - A^(-10)*m1 - A^(-8) - A^(-8)*p1 - A^(-6)*v
4_24|4_61	- 1 - A^(2)*v - A^(2)*m1 + A^(4) - A^(4)*p1 + A^(6)*v + A^(6)*m1 + A^(8) + A^(8)*p1
4_24ms|4_61ms	- 1 - A^(2)*w1 - A^(2)*v + A^(4) - A^(4)*q1 + A^(6)*w1 + A^(6)*v + A^(8) + A^(8)*q1
4_24s|4_61s	+ A^(-8) + A^(-8)*q1 + A^(-6)*w1 + A^(-6)*v + A^(-4) - A^(-4)*q1 - A^(-2)*w1 - A^(-2)*v - 1
4_24m|4_61m	+ A^(-8) + A^(-8)*p1 + A^(-6)*v + A^(-6)*m1 + A^(-4) - A^(-4)*p1 - A^(-2)*v - A^(-2)*m1 - 1
4_25|4_35s	+ A^(-4)*q1 + A^(-2)*v + A^(-2)*q1^(2) + 1 + v^(2) + q1 + A^(2)*v
4_25ms|4_35m	+ A^(-4)*p1 + A^(-2)*v + A^(-2)*p1^(2) + 1 + v^(2) + p1 + A^(2)*v
4_25s|4_35	+ A^(-2)*v + 1 + v^(2) + p1 + A^(2)*v + A^(2)*p1^(2) + A^(4)*p1
4_25m|4_35ms	+ A^(-2)*v + 1 + v^(2) + q1 + A^(2)*v + A^(2)*q1^(2) + A^(4)*q1
4_26	+ A^(-10)*w1 + A^(-8) + A^(-8)*q1 + A^(-6)*w1 + 2*A^(-6)*v + A^(-4)*v^(2)
4_26ms	+ A^(-10)*m1 + A^(-8) + A^(-8)*p1 + 2*A^(-6)*v + A^(-6)*m1 + A^(-4)*v^(2)
4_26s	+ A^(4)*v^(2) + 2*A^(6)*v + A^(6)*m1 + A^(8) + A^(8)*p1 + A^(10)*m1
4_26m	+ A^(4)*v^(2) + A^(6)*w1 + 2*A^(6)*v + A^(8) + A^(8)*q1 + A^(10)*w1
4_27	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(12) - A^(16)
4_27m	- A^(-16) + A^(-12) + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
4_28	+ A^(4) + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
4_28m	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v + A^(-4)
4_29|4_110	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 1 + p1 - A^(2)*v + A^(2)*m1 - A^(4) - A^(4)*p1 - A^(6)*m1
4_29ms|4_110ms	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 1 + q1 + A^(2)*w1 - A^(2)*v - A^(4) - A^(4)*q1 - A^(6)*w1
4_29s|4_110s	- A^(-6)*w1 - A^(-4) - A^(-4)*q1 + A^(-2)*w1 - A^(-2)*v + 1 + q1 + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
4_29m|4_110m	- A^(-6)*m1 - A^(-4) - A^(-4)*p1 - A^(-2)*v + A^(-2)*m1 + 1 + p1 + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
4_30|4_58	+ 2*A^(-8) + A^(-6)*v + A^(-6)*m1 - A^(-4) + A^(-4)*p1 - A^(-2)*v - A^(-2)*m1 - p1
4_30ms|4_58ms	+ 2*A^(-8) + A^(-6)*w1 + A^(-6)*v - A^(-4) + A^(-4)*q1 - A^(-2)*w1 - A^(-2)*v - q1
4_30s|4_58s	- q1 - A^(2)*w1 - A^(2)*v - A^(4) + A^(4)*q1 + A^(6)*w1 + A^(6)*v + 2*A^(8)
4_30m|4_58m	- p1 - A^(2)*v - A^(2)*m1 - A^(4) + A^(4)*p1 + A^(6)*v + A^(6)*m1 + 2*A^(8)
4_31	- A^(8) + A^(8)*v^(2) - A^(10)*w1 + A^(10)*v + A^(10)*q1^(2) + A^(12) + 2*A^(12)*q1 + A^(14)*w1 + A^(14)*v + A^(16)
4_31ms	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(10)*p1^(2) - A^(10)*m1 + A^(12) + 2*A^(12)*p1 + A^(14)*v + A^(14)*m1 + A^(16)
4_31s	+ A^(-16) + A^(-14)*v + A^(-14)*m1 + A^(-12) + 2*A^(-12)*p1 + A^(-10)*v + A^(-10)*p1^(2) - A^(-10)*m1 - A^(-8) + A^(-8)*v^(2)
4_31m	+ A^(-16) + A^(-14)*w1 + A^(-14)*v + A^(-12) + 2*A^(-12)*q1 - A^(-10)*w1 + A^(-10)*v + A^(-10)*q1^(2) - A^(-8) + A^(-8)*v^(2)
4_32	+ A^(4) + 2*A^(6)*w1 + A^(6)*v + A^(8)*v^(2) + A^(8)*q1 + A^(10)*v
4_32ms	+ A^(4) + A^(6)*v + 2*A^(6)*m1 + A^(8)*v^(2) + A^(8)*p1 + A^(10)*v
4_32s	+ A^(-10)*v + A^(-8)*v^(2) + A^(-8)*p1 + A^(-6)*v + 2*A^(-6)*m1 + A^(-4)
4_32m	+ A^(-10)*v + A^(-8)*v^(2) + A^(-8)*q1 + 2*A^(-6)*w1 + A^(-6)*v + A^(-4)
4_33	- A^(2)*w1 + A^(2)*q1^(2) - A^(4) + A^(4)*v^(2) + 2*A^(4)*q1 + A^(6)*w1 + 2*A^(6)*v + 2*A^(8)
4_33ms	+ A^(2)*p1^(2) - A^(2)*m1 - A^(4) + A^(4)*v^(2) + 2*A^(4)*p1 + 2*A^(6)*v + A^(6)*m1 + 2*A^(8)
4_33s	+ 2*A^(-8) + 2*A^(-6)*v + A^(-6)*m1 - A^(-4) + A^(-4)*v^(2) + 2*A^(-4)*p1 + A^(-2)*p1^(2) - A^(-2)*m1
4_33m	+ 2*A^(-8) + A^(-6)*w1 + 2*A^(-6)*v - A^(-4) + A^(-4)*v^(2) + 2*A^(-4)*q1 - A^(-2)*w1 + A^(-2)*q1^(2)
4_34	+ 2*A^(-2)*w1 + 2 + q1 + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
4_34ms	+ 2*A^(-2)*m1 + 2 + p1 + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
4_34s	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 2 + p1 + 2*A^(2)*m1
4_34m	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 2 + q1 + 2*A^(2)*w1
4_36	+ A^(-4)*m2 + A^(-2)*p2 + A^(-2)*m1 + 1 + p1 + m2 + A^(2)*m1
4_36ms	+ A^(-4)*w2 + A^(-2)*w1 + A^(-2)*q2 + 1 + w2 + q1 + A^(2)*w1
4_36s	+ A^(-2)*w1 + 1 + w2 + q1 + A^(2)*w1 + A^(2)*q2 + A^(4)*w2
4_36m	+ A^(-2)*m1 + 1 + p1 + m2 + A^(2)*p2 + A^(2)*m1 + A^(4)*m2
4_37	+ A^(4) + A^(4)*m2 + A^(6)*p2 + 2*A^(6)*m1 + A^(8)*p1 + A^(8)*m2
4_37ms	+ A^(4) + A^(4)*w2 + 2*A^(6)*w1 + A^(6)*q2 + A^(8)*w2 + A^(8)*q1
4_37s	+ A^(-8)*w2 + A^(-8)*q1 + 2*A^(-6)*w1 + A^(-6)*q2 + A^(-4) + A^(-4)*w2
4_37m	+ A^(-8)*p1 + A^(-8)*m2 + A^(-6)*p2 + 2*A^(-6)*m1 + A^(-4) + A^(-4)*m2
4_38	+ A^(2)*m1 + A^(4) + A^(4)*p1 + A^(4)*m2 + A^(6)*p2 + 2*A^(6)*m1 + A^(8)*m2 - A^(10)*m1
4_38ms	+ A^(2)*w1 + A^(4) + A^(4)*w2 + A^(4)*q1 + 2*A^(6)*w1 + A^(6)*q2 + A^(8)*w2 - A^(10)*w1
4_38s	- A^(-10)*w1 + A^(-8)*w2 + 2*A^(-6)*w1 + A^(-6)*q2 + A^(-4) + A^(-4)*w2 + A^(-4)*q1 + A^(-2)*w1
4_38m	- A^(-10)*m1 + A^(-8)*m2 + A^(-6)*p2 + 2*A^(-6)*m1 + A^(-4) + A^(-4)*p1 + A^(-4)*m2 + A^(-2)*m1
4_39	- A^(8) + A^(8)*v^(2) + A^(10)*v + A^(10)*p1^(2) - A^(10)*m1 + 2*A^(12)*p1 + A^(14)*m1
4_39ms	- A^(8) + A^(8)*v^(2) - A^(10)*w1 + A^(10)*v + A^(10)*q1^(2) + 2*A^(12)*q1 + A^(14)*w1
4_39s	+ A^(-14)*w1 + 2*A^(-12)*q1 - A^(-10)*w1 + A^(-10)*v + A^(-10)*q1^(2) - A^(-8) + A^(-8)*v^(2)
4_39m	+ A^(-14)*m1 + 2*A^(-12)*p1 + A^(-10)*v + A^(-10)*p1^(2) - A^(-10)*m1 - A^(-8) + A^(-8)*v^(2)
4_40	+ A^(-2)*v - 1 + v^(2) + p1 + 2*A^(2)*p1^(2) - 2*A^(2)*m1 - 2*A^(4)*p1 + A^(4)*p1^(3)
4_40ms	+ A^(-2)*v - 1 + v^(2) + q1 - 2*A^(2)*w1 + 2*A^(2)*q1^(2) - 2*A^(4)*q1 + A^(4)*q1^(3)
4_40s	- 2*A^(-4)*q1 + A^(-4)*q1^(3) - 2*A^(-2)*w1 + 2*A^(-2)*q1^(2) - 1 + v^(2) + q1 + A^(2)*v
4_40m	- 2*A^(-4)*p1 + A^(-4)*p1^(3) + 2*A^(-2)*p1^(2) - 2*A^(-2)*m1 - 1 + v^(2) + p1 + A^(2)*v
4_41	+ A^(8) - 3*A^(8)*v^(2) + A^(8)*v^(4) - 2*A^(10)*v + A^(10)*v^(3)
4_41m	- 2*A^(-10)*v + A^(-10)*v^(3) + A^(-8) - 3*A^(-8)*v^(2) + A^(-8)*v^(4)
4_42	+ A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) - 2*A^(10)*v + A^(10)*v^(3) - A^(12) + A^(12)*v^(2)
4_42m	- A^(-12) + A^(-12)*v^(2) - 2*A^(-10)*v + A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
4_43	+ 1 - v^(2) - A^(2)*v - 2*A^(4)*v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3)
4_43m	- A^(-6)*v + A^(-6)*v^(3) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + 1 - v^(2)
4_44	- A^(6)*v - A^(8)*p1 + 2*A^(10)*v + A^(12) + A^(12)*v^(2) + 2*A^(12)*p1 + A^(14)*v + 2*A^(14)*m1
