0_1	+ 1
1_1	- A^(2)*v - A^(4)
1_1m	- A^(-4) - A^(-2)*v
2_1	+ A^(4) + A^(6)*m1 - A^(10)*m1
2_1ms	+ A^(4) + A^(6)*w1 - A^(10)*w1
2_1s	- A^(-10)*w1 + A^(-6)*w1 + A^(-4)
2_1m	- A^(-10)*m1 + A^(-6)*m1 + A^(-4)
2_2	+ A^(-2)*m1 + 1 + p1 + A^(2)*m1
2_2s	+ A^(-2)*w1 + 1 + q1 + A^(2)*w1
2_3	- A^(4) + A^(4)*v^(2) + A^(6)*v
2_3m	+ A^(-6)*v - A^(-4) + A^(-4)*v^(2)
2_4	+ A^(4) + 2*A^(6)*m1 + A^(8)*p1
2_4ms	+ A^(4) + 2*A^(6)*w1 + A^(8)*q1
2_4s	+ A^(-8)*q1 + 2*A^(-6)*w1 + A^(-4)
2_4m	+ A^(-8)*p1 + 2*A^(-6)*m1 + A^(-4)
2_5	- A^(2)*v + A^(6)*v + A^(8)
2_5m	+ A^(-8) + A^(-6)*v - A^(-2)*v
2_6	- A^(-4) + v^(2) + A^(2)*v
2_6m	+ A^(-2)*v + v^(2) - A^(4)
3_1	+ A^(4) + A^(12) - A^(16)
3_1m	- A^(-16) + A^(-12) + A^(-4)
3_2	+ A^(-8) - A^(-4) - A^(-2)*m1 + 1 + A^(2)*m1
3_2ms	+ A^(-8) - A^(-4) - A^(-2)*w1 + 1 + A^(2)*w1
3_2s	+ A^(-2)*w1 + 1 - A^(2)*w1 - A^(4) + A^(8)
3_2m	+ A^(-2)*m1 + 1 - A^(2)*m1 - A^(4) + A^(8)
3_3|3_6m	- p1 - A^(2)*v - A^(2)*p1^(2) - A^(4) - A^(4)*p1
3_3ms|3_6s	- q1 - A^(2)*v - A^(2)*q1^(2) - A^(4) - A^(4)*q1
3_3s|3_6ms	- A^(-4) - A^(-4)*q1 - A^(-2)*v - A^(-2)*q1^(2) - q1
3_3m|3_6	- A^(-4) - A^(-4)*p1 - A^(-2)*v - A^(-2)*p1^(2) - p1
3_4|3_5m	- A^(-6)*m1 - A^(-4) - A^(-4)*p1 - A^(-2)*v - A^(-2)*m1
3_4ms|3_5s	- A^(-6)*w1 - A^(-4) - A^(-4)*q1 - A^(-2)*w1 - A^(-2)*v
3_4s|3_5ms	- A^(2)*w1 - A^(2)*v - A^(4) - A^(4)*q1 - A^(6)*w1
3_4m|3_5	- A^(2)*v - A^(2)*m1 - A^(4) - A^(4)*p1 - A^(6)*m1
3_7	- A^(6)*v - A^(8) - A^(8)*p1 - 2*A^(10)*m1
3_7ms	- A^(6)*v - A^(8) - A^(8)*q1 - 2*A^(10)*w1
3_7s	- 2*A^(-10)*w1 - A^(-8) - A^(-8)*q1 - A^(-6)*v
3_7m	- 2*A^(-10)*m1 - A^(-8) - A^(-8)*p1 - A^(-6)*v
3_8	- 1 - A^(2)*v - A^(2)*m1 - 2*A^(4)*p1 - A^(6)*p1^(2) + A^(6)*m1
3_8ms	- 1 - A^(2)*w1 - A^(2)*v - 2*A^(4)*q1 + A^(6)*w1 - A^(6)*q1^(2)
3_8s	+ A^(-6)*w1 - A^(-6)*q1^(2) - 2*A^(-4)*q1 - A^(-2)*w1 - A^(-2)*v - 1
3_8m	- A^(-6)*p1^(2) + A^(-6)*m1 - 2*A^(-4)*p1 - A^(-2)*v - A^(-2)*m1 - 1
3_9	+ 2*A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(2)
3_9m	+ A^(-8) - A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3)
3_10	+ A^(4) + A^(6)*m1 - A^(8) - A^(10)*v - A^(10)*m1 - A^(12)
3_10ms	+ A^(4) + A^(6)*w1 - A^(8) - A^(10)*w1 - A^(10)*v - A^(12)
3_10s	- A^(-12) - A^(-10)*w1 - A^(-10)*v - A^(-8) + A^(-6)*w1 + A^(-4)
3_10m	- A^(-12) - A^(-10)*v - A^(-10)*m1 - A^(-8) + A^(-6)*m1 + A^(-4)
3_11	+ A^(4)*v^(2) + A^(6)*v + A^(8) - A^(8)*v^(2) - A^(10)*v
3_11m	- A^(-10)*v + A^(-8) - A^(-8)*v^(2) + A^(-6)*v + A^(-4)*v^(2)
3_12	+ A^(-2)*v + 1 + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
3_12m	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 1 + A^(2)*v
3_13	- A^(6)*v - A^(8) - 2*A^(8)*p1 - A^(10)*p1^(2) - A^(10)*m1 + A^(14)*m1
3_13ms	- A^(6)*v - A^(8) - 2*A^(8)*q1 - A^(10)*w1 - A^(10)*q1^(2) + A^(14)*w1
3_13s	+ A^(-14)*w1 - A^(-10)*w1 - A^(-10)*q1^(2) - A^(-8) - 2*A^(-8)*q1 - A^(-6)*v
3_13m	+ A^(-14)*m1 - A^(-10)*p1^(2) - A^(-10)*m1 - A^(-8) - 2*A^(-8)*p1 - A^(-6)*v
3_14	- 1 - A^(2)*v - 2*A^(2)*m1 - 2*A^(4)*p1 + A^(8)*p1
3_14ms	- 1 - 2*A^(2)*w1 - A^(2)*v - 2*A^(4)*q1 + A^(8)*q1
3_14s	+ A^(-8)*q1 - 2*A^(-4)*q1 - 2*A^(-2)*w1 - A^(-2)*v - 1
3_14m	+ A^(-8)*p1 - 2*A^(-4)*p1 - A^(-2)*v - 2*A^(-2)*m1 - 1
3_15	+ A^(4) - A^(8) - A^(10)*v + A^(12) + A^(14)*v
3_15m	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) + A^(-4)
3_16	- A^(6)*v - A^(8) + A^(12) - A^(16)
3_16m	- A^(-16) + A^(-12) - A^(-8) - A^(-6)*v
3_17	+ A^(-8) - 2*A^(-4) - A^(-2)*v - 2*A^(-2)*m1 - p1
3_17ms	+ A^(-8) - 2*A^(-4) - 2*A^(-2)*w1 - A^(-2)*v - q1
3_17s	- q1 - 2*A^(2)*w1 - A^(2)*v - 2*A^(4) + A^(8)
3_17m	- p1 - A^(2)*v - 2*A^(2)*m1 - 2*A^(4) + A^(8)
3_18	- A^(-6)*v - 2*A^(-4) - A^(-2)*m1 + 1 + A^(2)*m1
3_18ms	- A^(-6)*v - 2*A^(-4) - A^(-2)*w1 + 1 + A^(2)*w1
3_18s	+ A^(-2)*w1 + 1 - A^(2)*w1 - 2*A^(4) - A^(6)*v
3_18m	+ A^(-2)*m1 + 1 - A^(2)*m1 - 2*A^(4) - A^(6)*v
3_19|1_1*2_1	- A^(6)*v - A^(8) - A^(8)*p1 - A^(10)*m1 + A^(12)*p1 + A^(14)*m1
3_19ms|1_1*2_1ms	- A^(6)*v - A^(8) - A^(8)*q1 - A^(10)*w1 + A^(12)*q1 + A^(14)*w1
3_19s|1_1m*2_1s	+ A^(-14)*w1 + A^(-12)*q1 - A^(-10)*w1 - A^(-8) - A^(-8)*q1 - A^(-6)*v
3_19m|1_1m*2_1m	+ A^(-14)*m1 + A^(-12)*p1 - A^(-10)*m1 - A^(-8) - A^(-8)*p1 - A^(-6)*v
3_20|1_1m*2_1	- 1 - A^(2)*v - A^(2)*m1 - A^(4)*p1 + A^(6)*m1 + A^(8)*p1
3_20ms|1_1m*2_1ms	- 1 - A^(2)*w1 - A^(2)*v - A^(4)*q1 + A^(6)*w1 + A^(8)*q1
3_20s|1_1*2_1s	+ A^(-8)*q1 + A^(-6)*w1 - A^(-4)*q1 - A^(-2)*w1 - A^(-2)*v - 1
3_20m|1_1*2_1m	+ A^(-8)*p1 + A^(-6)*m1 - A^(-4)*p1 - A^(-2)*v - A^(-2)*m1 - 1
3_21	- A^(2)*v + A^(6)*v - A^(10)*v - A^(12)
3_21m	- A^(-12) - A^(-10)*v + A^(-6)*v - A^(-2)*v
3_22	- A^(-4) + v^(2) - A^(4)*v^(2) - A^(6)*v
3_22m	- A^(-6)*v - A^(-4)*v^(2) + v^(2) - A^(4)
3_23	+ A^(-2)*v - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(8)
3_23m	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + A^(2)*v
3_24	+ A^(-8) - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
3_24m	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4)*v^(2) + A^(8)
3_25	- A^(4) + A^(4)*v^(2) - A^(8)*v^(2) - A^(10)*v
3_25m	- A^(-10)*v - A^(-8)*v^(2) - A^(-4) + A^(-4)*v^(2)
3_26	+ A^(-6)*v + A^(-2)*v - A^(-2)*v^(3) + 1 - v^(2)
3_26m	+ 1 - v^(2) + A^(2)*v - A^(2)*v^(3) + A^(6)*v
4_1	+ A^(-8) - A^(-4) + 1 - A^(4) + A^(8)
4_2	- A^(2)*m1 + A^(4) + 2*A^(6)*m1 + A^(8)*m2 - A^(10)*m1 - A^(12)*m2
4_2ms	- A^(2)*w1 + A^(4) + 2*A^(6)*w1 + A^(8)*w2 - A^(10)*w1 - A^(12)*w2
4_2s	- A^(-12)*w2 - A^(-10)*w1 + A^(-8)*w2 + 2*A^(-6)*w1 + A^(-4) - A^(-2)*w1
4_2m	- A^(-12)*m2 - A^(-10)*m1 + A^(-8)*m2 + 2*A^(-6)*m1 + A^(-4) - A^(-2)*m1
4_3	+ A^(8) + A^(10)*m1 + A^(12)*m2 - A^(14)*m1 - A^(16)*m2
4_3ms	+ A^(8) + A^(10)*w1 + A^(12)*w2 - A^(14)*w1 - A^(16)*w2
4_3s	- A^(-16)*w2 - A^(-14)*w1 + A^(-12)*w2 + A^(-10)*w1 + A^(-8)
4_3m	- A^(-16)*m2 - A^(-14)*m1 + A^(-12)*m2 + A^(-10)*m1 + A^(-8)
4_4	+ A^(4) - A^(8) + 2*A^(12) + A^(14)*m1 - A^(16) - A^(18)*m1
4_4ms	+ A^(4) - A^(8) + 2*A^(12) + A^(14)*w1 - A^(16) - A^(18)*w1
4_4s	- A^(-18)*w1 - A^(-16) + A^(-14)*w1 + 2*A^(-12) - A^(-8) + A^(-4)
4_4m	- A^(-18)*m1 - A^(-16) + A^(-14)*m1 + 2*A^(-12) - A^(-8) + A^(-4)
4_5	+ A^(-14)*m1 - 2*A^(-10)*m1 - A^(-8)*m2 + A^(-6)*m1 + A^(-4) + A^(-4)*m2
4_5ms	+ A^(-14)*w1 - 2*A^(-10)*w1 - A^(-8)*w2 + A^(-6)*w1 + A^(-4) + A^(-4)*w2
4_5s	+ A^(4) + A^(4)*w2 + A^(6)*w1 - A^(8)*w2 - 2*A^(10)*w1 + A^(14)*w1
4_5m	+ A^(4) + A^(4)*m2 + A^(6)*m1 - A^(8)*m2 - 2*A^(10)*m1 + A^(14)*m1
4_6	+ A^(8) + A^(10)*m1 - A^(14)*m1 + A^(18)*m1 - A^(22)*m1
4_6ms	+ A^(8) + A^(10)*w1 - A^(14)*w1 + A^(18)*w1 - A^(22)*w1
4_6s	- A^(-22)*w1 + A^(-18)*w1 - A^(-14)*w1 + A^(-10)*w1 + A^(-8)
4_6m	- A^(-22)*m1 + A^(-18)*m1 - A^(-14)*m1 + A^(-10)*m1 + A^(-8)
4_7	- A^(-4)*m2 + 1 + m2 + A^(2)*m1 - A^(6)*m1
4_7ms	- A^(-4)*w2 + 1 + w2 + A^(2)*w1 - A^(6)*w1
4_7s	- A^(-6)*w1 + A^(-2)*w1 + 1 + w2 - A^(4)*w2
4_7m	- A^(-6)*m1 + A^(-2)*m1 + 1 + m2 - A^(4)*m2
4_8	+ A^(4) + A^(6)*m1 - A^(8) - A^(10)*m1 + A^(12) + A^(14)*m1 - A^(18)*m1
4_8ms	+ A^(4) + A^(6)*w1 - A^(8) - A^(10)*w1 + A^(12) + A^(14)*w1 - A^(18)*w1
4_8s	- A^(-18)*w1 + A^(-14)*w1 + A^(-12) - A^(-10)*w1 - A^(-8) + A^(-6)*w1 + A^(-4)
4_8m	- A^(-18)*m1 + A^(-14)*m1 + A^(-12) - A^(-10)*m1 - A^(-8) + A^(-6)*m1 + A^(-4)
4_9|4_20m	+ A^(2)*p1^(2) - A^(2)*m1 - A^(4) + A^(4)*v^(2) - A^(4)*p1 + A^(4)*p1^(3) + A^(6)*v + A^(6)*p1^(2) - A^(6)*m1
4_9ms|4_20s	- A^(2)*w1 + A^(2)*q1^(2) - A^(4) + A^(4)*v^(2) - A^(4)*q1 + A^(4)*q1^(3) - A^(6)*w1 + A^(6)*v + A^(6)*q1^(2)
