k0.1	1
k4.90	+ A^(-4)*v + A^(-2)*v + A^(-2)*v^(2) + v + v^(2) - A^(4)
k4.90m	- A^(-4) + v + v^(2) + A^(2)*v + A^(2)*v^(2) + A^(4)*v
k4.91	+ A^(-8) + 2*A^(-8)*v + A^(-6) + 2*A^(-6)*v + A^(-6)*v^(2) + A^(-4) + A^(-4)*v^(2) - A^(-2) - 1
k4.91m	- 1 - A^(2) + A^(4) + A^(4)*v^(2) + A^(6) + 2*A^(6)*v + A^(6)*v^(2) + A^(8) + 2*A^(8)*v
k4.92	+ A^(-8) + A^(-8)*v + 2*A^(-6)*v + A^(-6)*v^(2) + A^(-4)*v + A^(-4)*v^(2)
k4.92m	+ A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v + A^(6)*v^(2) + A^(8) + A^(8)*v
k4.93	+ A^(-8) + A^(-8)*v + A^(-6) + A^(-6)*v + A^(-4) - A^(-4)*v - A^(-2) - A^(-2)*v - 1
k4.93m	- 1 - A^(2) - A^(2)*v + A^(4) - A^(4)*v + A^(6) + A^(6)*v + A^(8) + A^(8)*v
k4.94	+ A^(-8) + A^(-8)*v + A^(-6)*v + A^(-6)*v^(2) - A^(-2)*v - A^(-2)*v^(2) - v
k4.94m	- v - A^(2)*v - A^(2)*v^(2) + A^(6)*v + A^(6)*v^(2) + A^(8) + A^(8)*v
k4.95	- A^(-12)*v - 2*A^(-10) - A^(-8) - A^(-8)*v + A^(-8)*v^(3) + 2*A^(-6)*v^(2) + A^(-4)*v + A^(-4)*v^(2) + A^(-2)*v
k4.95m	+ A^(2)*v + A^(4)*v + A^(4)*v^(2) + 2*A^(6)*v^(2) - A^(8) - A^(8)*v + A^(8)*v^(3) - 2*A^(10) - A^(12)*v
k4.96	- A^(-12)*v + A^(-8)*v + A^(-8)*v^(3) + A^(-6)*v + 2*A^(-6)*v^(2) - A^(-4)*v + A^(-4)*v^(2) - 2*A^(-2) - 1
k4.96m	- 1 - 2*A^(2) - A^(4)*v + A^(4)*v^(2) + A^(6)*v + 2*A^(6)*v^(2) + A^(8)*v + A^(8)*v^(3) - A^(12)*v
k4.97	- A^(-12) + 2*A^(-8) + A^(-8)*v^(2) + 2*A^(-6) + 3*A^(-6)*v + 2*A^(-4)*v - A^(-2)*v - v
k4.97m	- v - A^(2)*v + 2*A^(4)*v + 2*A^(6) + 3*A^(6)*v + 2*A^(8) + A^(8)*v^(2) - A^(12)
k4.98	- A^(-12) + A^(-8) + A^(-8)*v^(2) + A^(-6) + 2*A^(-6)*v - A^(-4) + A^(-4)*v - A^(-2) - A^(-2)*v - v
k4.98m	- v - A^(2) - A^(2)*v - A^(4) + A^(4)*v + A^(6) + 2*A^(6)*v + A^(8) + A^(8)*v^(2) - A^(12)
k4.99	- A^(-12) - A^(-10)*v + 2*A^(-8) + 2*A^(-6) + 2*A^(-6)*v + 2*A^(-4)*v - A^(-2)*v - v
k4.99m	- v - A^(2)*v + 2*A^(4)*v + 2*A^(6) + 2*A^(6)*v + 2*A^(8) - A^(10)*v - A^(12)
k4.100	- A^(-12) - A^(-10)*v + A^(-8) + A^(-6) + 2*A^(-6)*v - A^(-4) + 2*A^(-4)*v + A^(-4)*v^(2) - A^(-2) + A^(-2)*v^(2)
k4.100m	- A^(2) + A^(2)*v^(2) - A^(4) + 2*A^(4)*v + A^(4)*v^(2) + A^(6) + 2*A^(6)*v + A^(8) - A^(10)*v - A^(12)
k4.101	- A^(-16)*v + A^(-12)*v^(3) - 2*A^(-10) + A^(-10)*v + 2*A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
k4.101m	- A^(8) + A^(8)*v^(2) - 2*A^(10) + A^(10)*v + 2*A^(10)*v^(2) + A^(12)*v^(3) - A^(16)*v
k4.102	- A^(-18) + 2*A^(-14) + 2*A^(-12) + A^(-12)*v - A^(-10) + A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6)*v
k4.102m	- A^(6)*v - A^(8) - A^(8)*v - A^(10) + A^(10)*v + 2*A^(12) + A^(12)*v + 2*A^(14) - A^(18)
k4.103	- A^(-18) + A^(-14) + A^(-14)*v^(2) + A^(-12) + 2*A^(-12)*v + A^(-10)*v - A^(-10)*v^(2) - 2*A^(-8)*v - A^(-6)*v
k4.103m	- A^(6)*v - 2*A^(8)*v + A^(10)*v - A^(10)*v^(2) + A^(12) + 2*A^(12)*v + A^(14) + A^(14)*v^(2) - A^(18)
k4.104	- A^(-18) - 2*A^(-16) + A^(-14) - A^(-14)*v + 2*A^(-12) + A^(-10)*v - A^(-8) - A^(-6)*v
k4.104m	- A^(6)*v - A^(8) + A^(10)*v + 2*A^(12) + A^(14) - A^(14)*v - 2*A^(16) - A^(18)
k4.105	- A^(-18) - A^(-16) + A^(-14) + 3*A^(-12) + A^(-10)*v - A^(-8) - A^(-6)*v
k4.105m	- A^(6)*v - A^(8) + A^(10)*v + 3*A^(12) + A^(14) - A^(16) - A^(18)
k4.106	- A^(-4) + A^(-4)*v^(2) + 2*A^(-2)*v + 1 + v + A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
k4.106m	- A^(-6) - A^(-4) - A^(-4)*v + A^(-2) - A^(-2)*v + 1 + v + 2*A^(2)*v - A^(4) + A^(4)*v^(2)
k4.107	- A^(-6) - A^(-4) + A^(-2) + A^(-2)*v^(2) + 1 + 2*v + v^(2) + 2*A^(2)*v - A^(4) - A^(6)*v
k4.107m	- A^(-6)*v - A^(-4) + 2*A^(-2)*v + 1 + 2*v + v^(2) + A^(2) + A^(2)*v^(2) - A^(4) - A^(6)
k4.108	- A^(-6) - A^(-4) + A^(-2) + A^(-2)*v^(2) + 2 + 2*v + v^(2) + 3*A^(2)*v - A^(6)*v
k4.108m	- A^(-6)*v + 3*A^(-2)*v + 2 + 2*v + v^(2) + A^(2) + A^(2)*v^(2) - A^(4) - A^(6)
k4.109	- A^(-6) - A^(-4) - A^(-4)*v + A^(-2) - A^(-2)*v + 2 + v + 2*A^(2)*v - A^(6)*v
k4.109m	- A^(-6)*v + 2*A^(-2)*v + 2 + v + A^(2) - A^(2)*v - A^(4) - A^(4)*v - A^(6)
k4.110	- A^(-6) - A^(-4)*v + A^(-2) + 1 + 2*v + A^(2) - A^(4)*v - A^(6)
k5.1	-A^(-28) + A^(-24) - A^(-20) + A^(-16) + A^(-8)
k5.1m	A^8 + A^16 - A^20 + A^24 - A^28
k5.2	-A^(-24) + A^(-20) - A^(-16) + 2*A^(-12) - A^(-8) + A^(-4)
k5.2m	A^4 - A^8 + 2*A^12 - A^16 + A^20 - A^24
k5.3 	A^8 + A^10 - A^14 + A^16 + A^18 - A^20 - 2*A^22 + A^26
k5.3m	A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)
k5.4 	1 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + A^2 - A^6
k5.4m	1 - A^(-6) + A^(-2) - A^2 + 2*A^6 + A^8 - A^10 - A^12
k5.5	2 + A^(-10) + A^(-8) - A^(-6) - 2*A^(-4) - A^4 + A^8
k5.5m	2 + A^(-8) - A^(-4) - 2*A^4 - A^6 + A^8 + A^10
k5.6	-1 + A^(-14) - 2*A^(-10) + 2*A^(-6) + A^(-4) - 2*A^(-2) + A^2 + A^4
k5.6m	-1 + A^(-4) + A^(-2) - 2*A^2 + A^4 + 2*A^6 - 2*A^10 + A^14
k5.7	2 - A^(-12) + 2*A^(-8) + A^(-6) - 2*A^(-4) - 2*A^(-2) + 2*A^2 - A^6
k5.7m	2 - A^(-6) + 2*A^(-2) - 2*A^2 - 2*A^4 + A^6 + 2*A^8 - A^12
k5.8	A^8 + A^10 - 2*A^14 + 2*A^18 + A^20 - A^22 - A^24
k5.8m 	- A^(-24) - A^(-22) + A^(-20) + 2*A^(-18) - 2*A^(-14) + A^(-10) + A^(-8)
k5.9	1 - A^(-12) - A^(-10) + 2*A^(-8) + 2*A^(-6) - A^(-4) - 2*A^(-2) + 2*A^2 - A^6
k5.9m	1 - A^(-6) + 2*A^(-2) - 2*A^2 - A^4 + 2*A^6 + 2*A^8 - A^10 - A^12
k5.10	A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)
k5.10m	A^2 + A^4 - A^6 - A^8 + A^10 + 2*A^12 - A^14 - 2*A^16 + A^20
k5.11	-1 + A^(-14) - 2*A^(-10) - A^(-8) + 2*A^(-6) + 2*A^(-4) - A^(-2) + A^4
k5.11m	-1 + A^(-4) - A^2 + 2*A^4 + 2*A^6 - A^8 - 2*A^10 + A^14
k5.12	1 + A^(-16) - A^(-12) - A^(-10) + A^(-8) + A^(-6) - A^(-4) - A^(-2) + A^2
k5.12m	1 + A^(-2) - A^2 - A^4 + A^6 + A^8 - A^10 - A^12 + A^16
k5.13	-1 + A^(-4) + A^(-2) - 3*A^2 + 3*A^6 + 2*A^8 - A^10 - A^12
k5.13m	-1 - A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) + A^2 + A^4
k5.14	A^2 + 2*A^4 - 3*A^8 - 2*A^10 + 2*A^12 + 2*A^14 - A^18
k5.14m	-A^(-18) + 2*A^(-14) + 2*A^(-12) - 2*A^(-10) - 3*A^(-8) + 2*A^(-4) + A^(-2)
k5.15	A^(-8) + A^(-6) - A^(-4) - 2*A^(-2) + A^2 + A^4
k5.15m	A^(-4) + A^(-2) - 2*A^2 - A^4 + A^6 + A^8
k5.16	-1 + A^(-4) + A^(-2) - 2*A^2 + 2*A^6 + A^8 - A^10
k5.16m	-1 - A^(-10) + A^(-8) + 2*A^(-6) - 2*A^(-2) + A^2 + A^4
k5.17	2*A^4 + A^6 - 2*A^8 - 2*A^10 + A^12 + 2*A^14 - A^18
k5.17m	-A^(-18) + 2*A^(-14) + A^(-12) - 2*A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4)
k5.18	2 - A^(-6) + 2*A^(-2) - A^2 - 2*A^4 + A^8
k5.18m	2 + A^(-8) - 2*A^(-4) - A^(-2) + 2*A^2 - A^6
k5.19	3 - A^(-6) + 2*A^(-2) - A^2 - 3*A^4 - A^6 + A^8 + A^10
k5.19m	+ A^(-10) + A^(-8) - A^(-6) - 3*A^(-4) - A^(-2) + 3 + 2*A^(2) - A^(6)
k5.20	A^(-16) + A^(-14) - A^(-12) - 3*A^(-10) - A^(-8) + 2*A^(-6) + 2*A^(-4)
k5.20m	2*A^4 + 2*A^6 - A^8 - 3*A^10 - A^12 + A^14 + A^16
k5.21	+ A^(-4) - 1 - 2*A^(2) + A^(4) + 3*A^(6) + A^(8) - A^(10) - A^(12)
k5.21m	- A^(-12) - A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) - 1 + A^(4)
k5.22	A^8 + 2*A^10 + A^12 - 3*A^14 - 2*A^16 + A^18 + 2*A^20 - A^24
k5.22m	- A^(-24) + 2*A^(-20) + A^(-18) - 2*A^(-16) - 3*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)
k5.23	+ A^(-14) + A^(-12) - 2*A^(-10) - 2*A^(-8) + 2*A^(-6) + 2*A^(-4) + A^(-2)
k5.23m	A^(2) + 2*A^(4) + 2*A^(6) - 2*A^(8) - 2*A^(10) + A^(12) + A^(14)
k5.24	3 - A^(-6) - A^(-4) + 2*A^(-2) - 2*A^4 - A^6 + A^8
k5.24m	+ A^(-8) - A^(-6) - 2*A^(-4) + 3 + 2*A^(2) - A^(4) - A^(6)
k5.25	A^4 + 2*A^6 - 2*A^10 - A^12 + A^16
k5.25m	A^(-16) - A^(-12) - 2*A^(-10) + 2*A^(-6) + A^(-4)
k5.26	A^4 - 2*A^8 + 3*A^12 + 2*A^14 - A^16 - 2*A^18
k5.26m	-2*A^(-18) - A^(-16) + 2*A^(-14) + 3*A^(-12) - 2*A^(-8) + A^(-4)
k5.27	2 + A^(-10) + A^(-8) - A^(-6) - 2*A^(-4) - A^(-2) + A^2
k5.27m	2 + A^(-2) - A^2 - 2*A^4 - A^6 + A^8 + A^10
k5.28	A^(-14) + A^(-12) - 2*A^(-10) - 2*A^(-8) + 2*A^(-4) + A^(-2)
k5.28m	A^2 + 2*A^4 - 2*A^8 - 2*A^10 + A^12 + A^14
k5.29	A^(-4) + 2*A^(-2) - 4*A^2 - 2*A^4 + 2*A^6 + 3*A^8 - A^12
k5.29m	- A^(-12) + 3*A^(-8) + 2*A^(-6) - 2*A^(-4) - 4*A^(-2) + 2*A^(2) + A^(4)
k5.30	+ A^(-10)*v + A^(-8) + A^(-8)*v + A^(-6) - A^(-6)*v - A^(-4) - 2*A^(-4)*v - 2*A^(-2) + 1 + v + 2*A^(2) - A^(6)
k5.30m	- A^(-6) + 2*A^(-2) + 1 + v - 2*A^(2) -  A^(4) - 2*A^(4)*v + A^(6) - A^(6)*v + A^(8) + A^(8)*v + A^(10)*v
k5.31	 - A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) + A^(-12)*v - A^(-8) - A^(-8)*v + A^(-4) + A^(-4)*v + A^(-2)
k5.31m	+ A^(2) + A^(4) + A^(4)*v - A^(8) - A^(8)*v + 2*A^(12) + A^(12)*v + 2*A^(14) - A^(16) - A^(18)
k5.32	- A^(-18) - A^(-16) - A^(-16)*v + A^(-12) + A^(-12)*v - A^(-8) - A^(-8)*v - A^(-6) - A^(-6)*v
k5.32m	- A^6*v - A^6 - A^8*v - A^8 + A^12*v + A^12 - A^16*v - A^16 - A^18
k5.33	- A^(-10) + A^(-6) - A^(-2) - A^(-2)*v - 1 - v - A^(2)
k5.33m	-1 -v - A^(-2) - A^2*v - A^2 + A^6 - A^10
k5.34	+ A^(-10)*v + A^(-8)*v^(2) - A^(-4)*v^(2) - A^(-2)*v + 1
k5.34m	+ 1 - A^(2)*v - A^(4)*v^(2) + A^(8)*v^(2) + A^(10)*v
k5.35	+ A^(-14)*v - A^(-10)*v^(3) - A^(-8)*v^(2) + A^(-6)*v^(3) + A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + 1 - v^(2)
k5.35m	+ 1 - v^(2) + A^(2)*v - A^(2)*v^(3) + A^(4)*v^(2) + A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v^(3) + A^(14)*v
k5.36	+ A^(-14)*v + A^(-12)*v^(2) - A^(-10)*v^(3) - A^(-8)*v^(4) - A^(-6)*v + A^(-6)*v^(3) + A^(-4)*v^(4) + 1 - v^(2)
k5.36m	+ 1 - v^(2) + A^(4)*v^(4) - A^(6)*v + A^(6)*v^(3) - A^(8)*v^(4) - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v
k5.37	+ A^(-10)*v - A^(-10)*v^(3) + 2*A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + 1 - v^(2)
k5.37m	+ 1 - v^(2) - A^(2)*v - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v^(3) + 2*A^(8)*v^(2) - A^(8)*v^(4) + A^(10)*v - A^(10)*v^(3)
k5.38	+ A^(-10)*v - A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-8)*v^(4) + A^(-6)*v - A^(-4)*v^(2) + A^(-4)*v^(4) + 1 - v^(2)
k5.38m	+ 1 - v^(2) - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v + A^(8)*v^(2) - A^(8)*v^(4) + A^(10)*v - A^(10)*v^(3)
k5.39	+ A^(-14)*v + A^(-12)*v^(2) + A^(-10)*v - A^(-10)*v^(3) - A^(-8)*v^(4) - A^(-4)*v^(2) + A^(-4)*v^(4) + 1 - v^(2)
k5.39m	+ 1 - v^(2) - A^(4)*v^(2) + A^(4)*v^(4) - A^(8)*v^(4) + A^(10)*v - A^(10)*v^(3) + A^(12)*v^(2) + A^(14)*v
k5.40	+ 2*A^(-14)*v - A^(-14)*v^(3) + 2*A^(-12)*v^(2) - A^(-12)*v^(4) + A^(-8) - 3*A^(-8)*v^(2) + A^(-8)*v^(4)
k5.40m	+ A^(8) - 3*A^(8)*v^(2) + A^(8)*v^(4) + 2*A^(12)*v^(2) - A^(12)*v^(4) + 2*A^(14)*v - A^(14)*v^(3)
k5.41	+ 2*A^(-14)*v - A^(-14)*v^(3) - A^(-12) + 3*A^(-12)*v^(2) - A^(-12)*v^(4) - A^(-10)*v + A^(-10)*v^(3) - 2*A^(-8)*v^(2) + A^(-8)*v^(4)
k5.41m	- 2*A^(8)*v^(2) + A^(8)*v^(4) - A^(10)*v + A^(10)*v^(3) - A^(12) + 3*A^(12)*v^(2) - A^(12)*v^(4) + 2*A^(14)*v - A^(14)*v^(3)
k5.42	+ A^(-8) - A^(-8)*v^(2) - 2*A^(-4)*v^(2) + A^(-4)*v^(4) + 2*v^(2) - v^(4) + 2*A^(2)*v - A^(2)*v^(3)
k5.42m	+ 2*A^(-2)*v - A^(-2)*v^(3) + 2*v^(2) - v^(4) - 2*A^(4)*v^(2) + A^(4)*v^(4) + A^(8) - A^(8)*v^(2)
k5.43	+ 2*A^(-8)*v^(2) - A^(-8)*v^(4) - A^(-6)*v + 3*A^(-6)*v^(3) - A^(-6)*v^(5) - A^(-4) + A^(-4)*v^(2) - 2*A^(-2)*v + A^(-2)*v^(3)
k5.43m	- 2*A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2) - A^(6)*v + 3*A^(6)*v^(3) - A^(6)*v^(5) + 2*A^(8)*v^(2) - A^(8)*v^(4)
k5.44	- A^(-24) - A^(-22)*v + A^(-20) + 2*A^(-18)*v - A^(-14)*v + A^(-12) - A^(-12)*v^(2) + 2*A^(-10)*v - A^(-10)*v^(3)
k5.44m	+ 2*A^(10)*v - A^(10)*v^(3) + A^(12) - A^(12)*v^(2) - A^(14)*v + 2*A^(18)*v + A^(20) - A^(22)*v - A^(24)
k5.45	+ A^(-20) + A^(-18)*v - A^(-16) - A^(-14)*v + A^(-12) - A^(-12)*v^(2) + 2*A^(-10)*v - A^(-10)*v^(3)
k5.45m	+ 2*A^(10)*v - A^(10)*v^(3) + A^(12) - A^(12)*v^(2) - A^(14)*v - A^(16) + A^(18)*v + A^(20)
k5.46	- A^(-22)*v + A^(-20) - A^(-20)*v^(2) + A^(-18)*v - A^(-16) + A^(-16)*v^(2) + A^(-12) - A^(-12)*v^(2) + 2*A^(-10)*v - A^(-10)*v^(3)
k5.46m	+ 2*A^(10)*v - A^(10)*v^(3) + A^(12) - A^(12)*v^(2) - A^(16) + A^(16)*v^(2) + A^(18)*v + A^(20) - A^(20)*v^(2) - A^(22)*v
k5.47	+ A^(-16) - A^(-16)*v^(2) + A^(-14)*v - A^(-14)*v^(3) - A^(-10)*v + A^(-10)*v^(3) + 2*A^(-6)*v - A^(-6)*v^(3)
k5.47m	+ 2*A^(6)*v - A^(6)*v^(3) - A^(10)*v + A^(10)*v^(3) + A^(14)*v - A^(14)*v^(3) + A^(16) - A^(16)*v^(2)
k5.48	+ A^(-16) + A^(-14)*v - A^(-10)*v - A^(-8)*v^(2) + 2*A^(-6)*v - A^(-6)*v^(3)
k5.48m	+ 2*A^(6)*v - A^(6)*v^(3) - A^(8)*v^(2) - A^(10)*v + A^(14)*v + A^(16)
k5.49	- A^(-6)*v + A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - 2*A^(-2)*v + 3*A^(-2)*v^(3) - A^(-2)*v^(5) + 2*v^(2) - v^(4)
k5.49m	+ 2*v^(2) - v^(4) - 2*A^(2)*v + 3*A^(2)*v^(3) - A^(2)*v^(5) - A^(4) + A^(4)*v^(2) - A^(6)*v + A^(6)*v^(3)
k5.50	- A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + v^(2) - A^(2)*v + A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v - A^(6)*v^(3) + A^(8) + A^(10)*v
k5.50m	+ A^(-10)*v + A^(-8) + A^(-6)*v - A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3) + v^(2) + A^(2)*v - A^(2)*v^(3) - A^(4)*v^(2)
k5.51	+ A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) - A^(-4) + A^(-4)*v^(2) - A^(-4)*v^(4) - A^(-2)*v + A^(-2)*v^(3) + v^(4) - A^(4)*v^(2)
k5.51m	- A^(-4)*v^(2) + v^(4) - A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2) - A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3) + A^(8)*v^(2) + A^(10)*v
k5.52	+ A^(-10)*v + A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) - A^(-4)*v^(4) + 1 - v^(2) + v^(4) - A^(4)*v^(2)
k5.52m	- A^(-4)*v^(2) + 1 - v^(2) + v^(4) - A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3) + A^(8)*v^(2) + A^(10)*v
k5.53	+ A^(-10)*v + A^(-8)*v^(2) - 2*A^(-4)*v^(2) - A^(-2)*v^(3) + 1 + A^(2)*v
k5.53m	+ A^(-2)*v + 1 - A^(2)*v^(3) - 2*A^(4)*v^(2) + A^(8)*v^(2) + A^(10)*v
k5.54	+ A^(-10)*v + A^(-8)*v^(2) - 2*A^(-6)*v - A^(-4) - 2*A^(-4)*v^(2) + 1 + v^(2) - 2*A^(4) + A^(8)
k5.54m	+ A^(-8) - 2*A^(-4) + 1 + v^(2) - A^(4) - 2*A^(4)*v^(2) - 2*A^(6)*v + A^(8)*v^(2) + A^(10)*v
k5.55	+ A^(-10)*v + A^(-8)*v^(2) - A^(-4) - A^(-4)*v^(2) - A^(-2)*v + v^(2) + A^(2)*v
k5.55m	+ A^(-2)*v + v^(2) - A^(2)*v - A^(4) - A^(4)*v^(2) + A^(8)*v^(2) + A^(10)*v
k5.56	+ A^(-10)*v + A^(-8)*v^(2) - A^(-6)*v - 2*A^(-4)*v^(2) + 2*v^(2) - A^(4)*v^(2) + A^(8)
k5.56m	+ A^(-8) - A^(-4)*v^(2) + 2*v^(2) - 2*A^(4)*v^(2) - A^(6)*v + A^(8)*v^(2) + A^(10)*v
k5.57	+ A^(-10)*v + A^(-8)*v^(2) - A^(-6)*v - A^(-4) - A^(-4)*v^(2) + 2 - A^(4) + A^(8)
k5.57m	+ A^(-8) - A^(-4) + 2 - A^(4) - A^(4)*v^(2) - A^(6)*v + A^(8)*v^(2) + A^(10)*v
k5.58	+ A^(-10)*v + A^(-8)*v^(2) - A^(-6)*v - A^(-4) - A^(-4)*v^(2) + A^(-2)*v + 1 + v^(2) - 2*A^(4) + A^(8)
k5.58m	+ A^(-8) - 2*A^(-4) + 1 + v^(2) + A^(2)*v - A^(4) - A^(4)*v^(2) - A^(6)*v + A^(8)*v^(2) + A^(10)*v
k5.59	+ A^(-10)*v + A^(-8)*v^(2) - A^(-6)*v^(3) - A^(-4)*v^(2) - A^(-4)*v^(4) + A^(-2)*v + v^(2) + v^(4) - 2*A^(4)*v^(2) + A^(8)
k5.59m	+ A^(-8) - 2*A^(-4)*v^(2) + v^(2) + v^(4) + A^(2)*v - A^(4)*v^(2) - A^(4)*v^(4) - A^(6)*v^(3) + A^(8)*v^(2) + A^(10)*v
k5.60	+ A^(-10)*v + A^(-8)*v^(2) - A^(-6)*v^(3) - A^(-4)*v^(4) + A^(-2)*v^(3) + v^(2) + v^(4) - A^(2)*v - 2*A^(4)*v^(2) + A^(8)
k5.60m	+ A^(-8) - 2*A^(-4)*v^(2) - A^(-2)*v + v^(2) + v^(4) + A^(2)*v^(3) - A^(4)*v^(4) - A^(6)*v^(3) + A^(8)*v^(2) + A^(10)*v
k5.61	+ A^(-10)*v - A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-2)*v^(3) + v^(2) - A^(2)*v^(3) - A^(4)*v^(2) + A^(6)*v + A^(8)
k5.61m	+ A^(-8) + A^(-6)*v - A^(-4)*v^(2) - A^(-2)*v^(3) + v^(2) + A^(2)*v^(3) - A^(4)*v^(2) - A^(6)*v^(3) + A^(10)*v
k5.62	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v + A^(-4) - A^(-4)*v^(2) + A^(-2)*v - A^(-2)*v^(3) + A^(2)*v
k5.62m	+ A^(-2)*v + A^(2)*v - A^(2)*v^(3) + A^(4) - A^(4)*v^(2) + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
k5.63	+ A^(-12) - A^(-12)*v^(2) - A^(-8) + 2*A^(-8)*v^(2) + A^(-6)*v + A^(-4) - 2*A^(-4)*v^(2) - A^(-2)*v^(3) + A^(2)*v
k5.63m	+ A^(-2)*v - A^(2)*v^(3) + A^(4) - 2*A^(4)*v^(2) + A^(6)*v - A^(8) + 2*A^(8)*v^(2) + A^(12) - A^(12)*v^(2)
k5.64	+ A^(-12) - A^(-12)*v^(2) - A^(-8) + 2*A^(-8)*v^(2) + A^(-6)*v + A^(-4) - A^(-4)*v^(2) - A^(-2)*v
k5.64m	- A^(2)*v + A^(4) - A^(4)*v^(2) + A^(6)*v - A^(8) + 2*A^(8)*v^(2) + A^(12) - A^(12)*v^(2)
k5.65	- A^(-12)*v^(2) - A^(-10)*v - A^(-8) + 2*A^(-8)*v^(2) + 2*A^(-6)*v + A^(-4) - A^(-4)*v^(2) - A^(-2)*v - 1 + v^(2) + A^(2)*v
k5.65m	+ A^(-2)*v - 1 + v^(2) - A^(2)*v + A^(4) - A^(4)*v^(2) + 2*A^(6)*v - A^(8) + 2*A^(8)*v^(2) - A^(10)*v - A^(12)*v^(2)
k5.66	+ A^(-12)*v^(2) + A^(-8) - A^(-8)*v^(4) + A^(-6)*v - A^(-6)*v^(3) - A^(-4)*v^(2) + A^(-4)*v^(4) - A^(-2)*v + A^(-2)*v^(3)
k5.66m	- A^(2)*v + A^(2)*v^(3) - A^(4)*v^(2) + A^(4)*v^(4) + A^(6)*v - A^(6)*v^(3) + A^(8) - A^(8)*v^(4) + A^(12)*v^(2)
k5.67	+ A^(-12)*v^(2) - A^(-10)*v + A^(-10)*v^(3) + A^(-8)*v^(2) - A^(-8)*v^(4) - A^(-6)*v + 2*A^(-6)*v^(3) - A^(-6)*v^(5) - A^(-4) + A^(-4)*v^(2) - A^(-2)*v + A^(-2)*v^(3)
k5.67m	- A^(2)*v + A^(2)*v^(3) - A^(4) + A^(4)*v^(2) - A^(6)*v + 2*A^(6)*v^(3) - A^(6)*v^(5) + A^(8)*v^(2) - A^(8)*v^(4) - A^(10)*v + A^(10)*v^(3) + A^(12)*v^(2)
k5.68	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) + A^(-6)*v + A^(-4) + A^(-2)*v - A^(-2)*v^(3) - v^(2)
k5.68m	- v^(2) + A^(2)*v - A^(2)*v^(3) + A^(4) + A^(6)*v - A^(8) - A^(10)*v + A^(12) + A^(14)*v
k5.69	+ A^(-14)*v + A^(-12) - A^(-10)*v - A^(-8) - A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3) + A^(-4) + A^(-2)*v
k5.69m	+ A^(2)*v + A^(4) + A^(6)*v - A^(6)*v^(3) - A^(8) - A^(8)*v^(2) - A^(10)*v + A^(12) + A^(14)*v
k5.70	+ A^(-14)*v + A^(-12) - A^(-8) + A^(-6)*v - A^(-6)*v^(3) + A^(-4) - A^(-4)*v^(2)
k5.70m	+ A^(4) - A^(4)*v^(2) + A^(6)*v - A^(6)*v^(3) - A^(8) + A^(12) + A^(14)*v
k5.71	+ A^(-14)*v + A^(-12)*v^(2) + A^(-8) - 2*A^(-8)*v^(2) + A^(-6)*v - A^(-6)*v^(3)
