0_1	+ 1
5_16s|5_16m	- A^(-24) + 2*A^(-20) + A^(-18) - 2*A^(-16) - 3*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)
5_17	+ A^(4) - 2*A^(8) + 3*A^(12) + 2*A^(14) - A^(16) - 2*A^(18)
5_17m	- 2*A^(-18) - A^(-16) + 2*A^(-14) + 3*A^(-12) - 2*A^(-8) + A^(-4)
5_18	+ A^(-16) - A^(-12) - 2*A^(-10) + 2*A^(-6) + A^(-4)
5_18m	+ A^(4) + 2*A^(6) - 2*A^(10) - A^(12) + A^(16)
5_19|5_19ms	+ A^(-4) - 1 - A^(2) + 2*A^(4) + 2*A^(6) - A^(8) - 2*A^(10) + A^(14)
5_19s|5_19m	+ A^(-14) - 2*A^(-10) - A^(-8) + 2*A^(-6) + 2*A^(-4) - A^(-2) - 1 + A^(4)
5_20|5_20ms	+ A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)
5_20s|5_20m	+ A^(2) + A^(4) - A^(6) - A^(8) + A^(10) + 2*A^(12) - A^(14) - 2*A^(16) + A^(20)
5_21|5_21ms	- A^(-6) + 2*A^(-2) + 3 - A^(2) - 3*A^(4) - A^(6) + A^(8) + A^(10)
5_21s|5_21m	+ A^(-10) + A^(-8) - A^(-6) - 3*A^(-4) - A^(-2) + 3 + 2*A^(2) - A^(6)
5_22|5_22ms	+ A^(-4) - 1 - 2*A^(2) + A^(4) + 3*A^(6) + A^(8) - A^(10) - A^(12)
5_22s|5_22m	- A^(-12) - A^(-10) + A^(-8) + 3*A^(-6) + A^(-4) - 2*A^(-2) - 1 + A^(4)
5_23|5_23ms	+ A^(-16) - A^(-12) - A^(-10) + A^(-8) + A^(-6) - A^(-4) - A^(-2) + 1 + A^(2)
5_23s|5_23m	+ A^(-2) + 1 - A^(2) - A^(4) + A^(6) + A^(8) - A^(10) - A^(12) + A^(16)
5_24|5_24ms	+ 2*A^(4) + 2*A^(6) - A^(8) - 3*A^(10) - A^(12) + A^(14) + A^(16)
5_24s|5_24m	+ A^(-16) + A^(-14) - A^(-12) - 3*A^(-10) - A^(-8) + 2*A^(-6) + 2*A^(-4)
2_1*3_1|2_1ms*3_1	+ A^(8) + A^(10) - A^(14) + A^(16) + A^(18) - A^(20) - 2*A^(22) + A^(26)
2_1s*3_1|2_1m*3_1	- A^(-6) + A^(-2) + 1 - A^(2) + 2*A^(6) + A^(8) - A^(10) - A^(12)
2_1*3_1m|2_1ms*3_1m	- A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)
2_1s*3_1m|2_1m*3_1m	+ A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)
2_1*3_2|2_1*3_2ms|2_1ms*3_2|2_1ms*3_2ms	+ A^(-4) + A^(-2) - 1 - 3*A^(2) + 3*A^(6) + 2*A^(8) - A^(10) - A^(12)
2_1*3_2s|2_1ms*3_2s|2_1*3_2m|2_1ms*3_2m	+ A^(2) + 2*A^(4) - 3*A^(8) - 2*A^(10) + 2*A^(12) + 2*A^(14) - A^(18)
2_1s*3_2|2_1s*3_2ms|2_1m*3_2|2_1m*3_2ms	- A^(-18) + 2*A^(-14) + 2*A^(-12) - 2*A^(-10) - 3*A^(-8) + 2*A^(-4) + A^(-2)
2_1s*3_2s|2_1s*3_2m|2_1m*3_2s|2_1m*3_2m	- A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - 3*A^(-2) - 1 + A^(2) + A^(4)
6_1	+ A^(-8) - A^(-4) + 2 - 2*A^(4) + A^(8) - A^(12) + A^(16)
6_1m	+ A^(-16) - A^(-12) + A^(-8) - 2*A^(-4) + 2 - A^(4) + A^(8)
6_2	+ A^(-4) - 1 + 2*A^(4) - 2*A^(8) + 2*A^(12) - 2*A^(16) + A^(20)
6_2m	+ A^(-20) - 2*A^(-16) + 2*A^(-12) - 2*A^(-8) + 2*A^(-4) - 1 + A^(4)
6_3	- A^(-12) + 2*A^(-8) - 2*A^(-4) + 3 - 2*A^(4) + 2*A^(8) - A^(12)
6_4|6_4ms|6_11|6_11ms	- A^(2) + 2*A^(6) + 2*A^(8) - A^(12) - A^(14)
6_4s|6_4m|6_11s|6_11m	- A^(-14) - A^(-12) + 2*A^(-8) + 2*A^(-6) - A^(-2)
6_5|6_5ms	- A^(6) + 3*A^(10) + 3*A^(12) - A^(14) - 3*A^(16) - A^(18) + A^(20)
6_5s|6_5m	+ A^(-20) - A^(-18) - 3*A^(-16) - A^(-14) + 3*A^(-12) + 3*A^(-10) - A^(-6)
6_6|6_6ms	- A^(6) + 2*A^(10) + 3*A^(12) - 2*A^(16) - A^(18)
6_6s|6_6m	- A^(-18) - 2*A^(-16) + 3*A^(-12) + 2*A^(-10) - A^(-6)
6_7|6_7ms|6_12|6_12ms	+ A^(12) + A^(14) + A^(16) - A^(20) - A^(22)
6_7s|6_7m|6_12s|6_12m	- A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)
6_8|6_8ms	+ A^(-22) + A^(-20) - 2*A^(-18) - 3*A^(-16) + 3*A^(-12) + A^(-10) - A^(-8) + A^(-4)
6_8s|6_8m	+ A^(4) - A^(8) + A^(10) + 3*A^(12) - 3*A^(16) - 2*A^(18) + A^(20) + A^(22)
6_9|6_9ms	- A^(-10) + A^(-6) - A^(-2) + 1 + 2*A^(2) + A^(4) - A^(6) - A^(8)
6_9s|6_9m	- A^(-8) - A^(-6) + A^(-4) + 2*A^(-2) + 1 - A^(2) + A^(6) - A^(10)
6_10|6_10ms	- A^(-6) + A^(-4) + 2*A^(-2) - 3*A^(2) - A^(4) + 3*A^(6) + 2*A^(8) - A^(10) - A^(12)
6_10s|6_10m	- A^(-12) - A^(-10) + 2*A^(-8) + 3*A^(-6) - A^(-4) - 3*A^(-2) + 2*A^(2) + A^(4) - A^(6)
6_13|6_13ms	+ A^(8) + 2*A^(10) - 3*A^(14) - A^(16) + 2*A^(18) + 2*A^(20) - A^(22) - A^(24)
6_13s|6_13m	- A^(-24) - A^(-22) + 2*A^(-20) + 2*A^(-18) - A^(-16) - 3*A^(-14) + 2*A^(-10) + A^(-8)
6_14|6_14ms	- 1 - A^(2) + 3*A^(4) + 4*A^(6) - 4*A^(10) - 2*A^(12) + A^(14) + A^(16)
6_14s|6_14m	+ A^(-16) + A^(-14) - 2*A^(-12) - 4*A^(-10) + 4*A^(-6) + 3*A^(-4) - A^(-2) - 1
6_15|6_15ms	- A^(6) + A^(8) + 3*A^(10) + A^(12) - 3*A^(14) - 2*A^(16) + 2*A^(18) + 2*A^(20) - A^(22) - A^(24)
